1485334687,5
1485334717,10
1485335210,1445
1485336659,9
1485336677,113
1485336948,11
1485343426,118
1485344812,717
1485345844,457
1485347428,768
1485348511,711
1485350031,3
1485350164,416
1485350619,1888
1485352932,848
1485354086,2037
1485356768,1720
1485359067,1725
1485361617,2027
1485375346,1780
1485377513,2273
1485408873,441
1485409318,9
1485409741,502
1485410326,1562
1485412231,32
1485412307,5
1485412315,1526
1485413847,13
1485413868,11
1485413889,659
1485415258,356
1485415617,4
1485415626,992
1485417509,2873
1485426706,2993
1485429826,146
1485430055,79
1485430216,92
1485438724,148
1485438897,2286
1485441691,93
1485441823,1562
1485443769,1715
1485446143,37
1485446421,1710
1485497956,1791
1485500315,1800
1485502763,2398
1485508081,603
1485508799,1649
1485510840,881
1485511856,567
1485513464,727
